ID,year,engine_cc,cylinder,valves_per_cylinder,power_ps,torque_nm,engine_compression,doors,hwy,mixed,city,fuel_cap_l
69315,2009,2360,4.0,4.0,160.0,220.0,10.0:1,4.0,9.1,10.7,11.8,49.0
69316,2009,2362,4.0,4.0,160.0,220.0,9.5:1,4.0,8.4,9.8,11.2,49.0
69317,2009,2362,4.0,4.0,161.0,220.0,9.5:1,4.0,8.4,9.8,11.2,49.0
69327,2000,2434,5.0,4.0,140.0,220.0,10.3:1,4.0,6.5,8.4,11.6,70.0
69332,2000,2435,5.0,4.0,162.0,340.0,18.0:1,4.0,5.2,6.5,8.7,70.0
69333,2000,2435,5.0,4.0,200.0,285.0,9.0:1,4.0,7.5,10.0,14.4,70.0
69334,2000,2319,5.0,4.0,249.0,330.0,8.5:1,4.0,7.1,9.3,13.0,70.0
69335,2000,2319,5.0,4.0,249.0,330.0,8.5:1,4.0,7.7,10.3,14.8,70.0
69364,2006,5359,8.0,2.0,304.0,447.0,9.4:1,4.0,10.7,13.1,14.7,83.0
69365,2006,5359,8.0,2.0,304.0,447.0,9.5:1,4.0,11.2,13.8,15.7,83.0
69366,2006,5359,8.0,2.0,304.0,447.0,9.4:1,4.0,11.9,13.2,14.9,95.0
69367,2006,5358,8.0,2.0,304.0,447.0,9.5:1,4.0,11.8,13.8,15.7,95.0
69372,2006,5324,8.0,2.0,299.0,454.0,9.5:1,4.0,13.1,14.7,16.8,117.0
69376,2006,5326,8.0,2.0,299.0,454.0,9.4:1,4.0,12.4,14.7,15.7,129.0
69377,2006,5358,8.0,2.0,299.0,454.0,9.5:1,4.0,11.2,12.4,13.1,98.0
69378,2006,4293,6.0,2.0,198.0,353.0,9.5:1,2.0,10.7,13.1,14.7,129.0
69384,2006,5996,8.0,2.0,350.0,515.0,9.2:1,4.0,13.8,15.7,18.1,98.0
69385,2006,5964,8.0,2.0,340.0,509.0,9.5:1,4.0,13.8,15.7,18.1,98.0
69461,2017,2400,4.0,4.0,184.0,171.0,10,4.0,31.0,25.0,22.0,16.0
69462,2017,2400,4.0,4.0,184.0,171.0,10,4.0,28.0,24.0,21.0,16.0
69463,2017,2400,4.0,4.0,184.0,171.0,10,4.0,31.0,25.0,22.0,16.0
69464,2017,2400,4.0,4.0,184.0,171.0,10,4.0,28.0,24.0,21.0,16.0
69465,2017,2400,4.0,4.0,184.0,171.0,10,4.0,31.0,25.0,22.0,16.0
69466,2017,2400,4.0,4.0,184.0,171.0,10,4.0,28.0,24.0,21.0,16.0
69467,2017,2400,4.0,4.0,184.0,171.0,10,4.0,25.0,22.0,19.0,16.0
69468,2017,2000,4.0,4.0,158.0,141.0,10.5,4.0,27.0,24.0,22.0,14.0
69469,2017,2400,4.0,4.0,172.0,165.0,10.5,4.0,27.0,23.0,21.0,14.0
69470,2017,2000,4.0,4.0,158.0,141.0,10.5,4.0,27.0,24.0,22.0,14.0
69471,2017,2400,4.0,4.0,172.0,165.0,10.5,4.0,27.0,23.0,21.0,14.0
69472,2017,2000,4.0,4.0,158.0,141.0,10.5,4.0,27.0,24.0,22.0,14.0
69473,2017,2400,4.0,4.0,172.0,165.0,10.5,4.0,27.0,23.0,21.0,14.0
69474,2017,2400,4.0,4.0,172.0,165.0,10.5,4.0,28.0,24.0,21.0,14.0
69475,2017,2400,4.0,4.0,172.0,165.0,10.5,4.0,27.0,23.0,21.0,14.0
69476,2017,2000,4.0,4.0,158.0,141.0,10.5,4.0,30.0,26.0,23.0,14.0
69477,2017,2400,4.0,4.0,172.0,165.0,10.5,4.0,27.0,24.0,22.0,14.0
69478,2017,3600,6.0,4.0,290.0,260.0,10.2,4.0,25.0,20.0,17.0,25.0
69479,2017,3600,6.0,4.0,290.0,260.0,10.2,4.0,24.0,19.0,17.0,25.0
69480,2017,3600,6.0,4.0,290.0,260.0,10.2,4.0,25.0,20.0,17.0,25.0
69481,2017,3600,6.0,4.0,290.0,260.0,10.2,4.0,24.0,19.0,17.0,25.0
69482,2017,3600,6.0,4.0,290.0,260.0,10.2,4.0,25.0,20.0,17.0,25.0
69483,2017,3600,6.0,4.0,290.0,260.0,10.2,4.0,24.0,19.0,17.0,25.0
69484,2017,3600,6.0,4.0,290.0,260.0,10.2,4.0,25.0,20.0,17.0,25.0
69485,2017,3600,6.0,4.0,290.0,260.0,10.2,4.0,24.0,19.0,17.0,25.0
69486,2017,3600,6.0,4.0,290.0,260.0,10.2,4.0,24.0,19.0,17.0,25.0
69487,2017,3600,6.0,4.0,290.0,260.0,10.2,4.0,24.0,19.0,17.0,25.0
69488,2017,6400,8.0,2.0,470.0,465.0,10.9,4.0,19.0,15.0,13.0,25.0
69489,2017,2000,4.0,4.0,158.0,141.0,10.5,4.0,27.0,24.0,22.0,14.0
69490,2017,2400,4.0,4.0,172.0,165.0,10.5,4.0,27.0,23.0,21.0,14.0
69491,2017,2000,4.0,4.0,158.0,141.0,10.5,4.0,27.0,24.0,22.0,14.0
69492,2017,2400,4.0,4.0,172.0,165.0,10.5,4.0,27.0,23.0,21.0,14.0
69493,2017,2000,4.0,4.0,158.0,141.0,10.5,4.0,30.0,26.0,23.0,14.0
69494,2017,2400,4.0,4.0,172.0,165.0,10.5,4.0,27.0,23.0,21.0,14.0
69495,2017,2400,4.0,4.0,172.0,165.0,10.5,4.0,28.0,23.0,21.0,14.0
69496,2017,2400,4.0,4.0,172.0,165.0,10.5,4.0,27.0,23.0,21.0,14.0
69497,2017,2000,4.0,4.0,158.0,141.0,10.5,4.0,30.0,26.0,23.0,14.0
69498,2017,2400,4.0,4.0,172.0,165.0,10.5,4.0,27.0,24.0,22.0,14.0
69500,2017,3600,6.0,4.0,285.0,260.0,10.2,2.0,21.0,18.0,17.0,19.0
69501,2017,3600,6.0,4.0,285.0,260.0,10.2,2.0,21.0,18.0,17.0,19.0
69502,2017,3600,6.0,4.0,285.0,260.0,10.2,2.0,21.0,18.0,17.0,19.0
69503,2017,3600,6.0,4.0,285.0,260.0,10.2,2.0,21.0,18.0,17.0,19.0
69504,2017,3600,6.0,4.0,285.0,260.0,10.2,2.0,21.0,18.0,17.0,19.0
69505,2017,3600,6.0,4.0,285.0,260.0,10.2,4.0,21.0,18.0,16.0,23.0
69506,2017,3600,6.0,4.0,285.0,260.0,10.2,4.0,21.0,18.0,16.0,23.0
69508,2017,3600,6.0,4.0,285.0,260.0,10.2,4.0,21.0,18.0,16.0,23.0
69509,2017,3600,6.0,4.0,285.0,260.0,10.2,4.0,21.0,18.0,16.0,23.0
69510,2017,3600,6.0,4.0,285.0,260.0,10.2,4.0,20.0,18.0,16.0,23.0
69511,2017,3600,6.0,4.0,285.0,260.0,10.2,4.0,21.0,18.0,16.0,23.0
69512,2017,3600,6.0,4.0,285.0,260.0,10.2,4.0,21.0,18.0,16.0,23.0
69513,2017,3600,6.0,4.0,285.0,260.0,10.2,2.0,21.0,18.0,17.0,19.0
69514,2017,3600,6.0,4.0,285.0,260.0,10.2,2.0,21.0,18.0,17.0,19.0
69529,2016,2000,4.0,4.0,148.0,145.0,10,4.0,34.0,28.0,25.0,16.0
69530,2016,2000,4.0,4.0,148.0,145.0,10,4.0,34.0,29.0,26.0,16.0
69531,2016,2400,4.0,4.0,168.0,167.0,10.5,4.0,31.0,26.0,22.0,16.0
69532,2016,2400,4.0,4.0,168.0,167.0,10.5,4.0,30.0,26.0,23.0,16.0
69533,2016,2000,4.0,4.0,237.0,253.0,9,4.0,25.0,20.0,18.0,15.0
69534,2016,2400,4.0,4.0,168.0,167.0,10.5,4.0,29.0,25.0,22.0,15.0
69535,2016,2000,4.0,4.0,291.0,300.0,9,4.0,23.0,19.0,17.0,15.0
69536,2016,2000,4.0,4.0,291.0,300.0,9,4.0,22.0,19.0,17.0,15.0
69537,2016,1200,3.0,4.0,74.0,74.0,10.5,4.0,42.0,37.0,34.0,9.0
69538,2016,1200,3.0,4.0,74.0,74.0,10.5,4.0,44.0,40.0,37.0,9.0
69539,2016,1200,3.0,4.0,74.0,74.0,10.5,4.0,42.0,37.0,34.0,9.0
69540,2016,1200,3.0,4.0,74.0,74.0,10.5,4.0,44.0,40.0,37.0,9.0
69541,2016,2400,4.0,4.0,166.0,162.0,10.5,4.0,31.0,27.0,25.0,17.0
69542,2016,3000,6.0,4.0,224.0,215.0,10.5,4.0,28.0,23.0,20.0,16.0
69543,2016,2400,4.0,4.0,166.0,162.0,10.5,4.0,31.0,27.0,25.0,17.0
69544,2016,2400,4.0,4.0,166.0,162.0,10.5,4.0,29.0,26.0,24.0,16.0
69545,2016,2000,4.0,4.0,148.0,145.0,10,4.0,30.0,26.0,24.0,17.0
69546,2016,2000,4.0,4.0,148.0,145.0,10,4.0,32.0,28.0,25.0,17.0
69547,2016,2000,4.0,4.0,148.0,145.0,10,4.0,30.0,27.0,24.0,17.0
